Word	Part of Speech	Origin	Definition
castanets	noun	Spanish	a percussion instrument consisting of a pair of hollow pieces of wood or bone that are made to click together in rhythm with the dance
catachresis	noun	Latin	strained or paradoxical use of words either in error or deliberately
cataclysm	noun	French	an event resulting in great loss and misfortune
cataclysmic	adjective	French	severely destructive
catafalque	noun	Italian	a decorated bier on which a coffin rests in state during a funeral
catalepsy	noun	Middle English	a trancelike state with loss of voluntary motion and failure to react to stimuli
catalysis	noun	Greek	acceleration of a chemical reaction induced the presence of material that is chemically unchanged at the end of the reaction
cataphract	noun	Latin	armor that protects the wearer's whole body
catarrh	noun	Middle English	inflammation of the nose and throat with increased production of mucus
catechumen	noun	Middle English	a new convert being taught the principles of Christianity by a catechist
catena	noun	Medieval Latin	a chain of connected ideas or passages or objects so arranged that each member is closely related to the preceding and following members
catenary	noun	New Latin	the curve theoretically assumed by a perfectly flexible and inextensible cord of uniform density and cross section hanging freely from two fixed points
causerie	noun	French	light informal conversation for social occasions
cavalcade	noun	French	a procession of people traveling on horseback
caveat	noun	Latin	a formal notice filed with a court or officer to suspend a proceeding until filer is given a hearing
cavil	noun	Latin	an evasion of the point of an argument by raising irrelevant distinctions or objections
cecity	noun	Middle French	the state of being blind or lacking sight
cedilla	noun	Spanish	a diacritical mark placed below the letter c to indicate that it is pronounced as an s
ceiling	noun	Middle English	the overhead upper surface of a room
celebratory	adjective	Middle English	used for celebrating
celesta	noun	French	a musical instrument consisting of graduated steel plates that are struck by hammers activated by a keyboard
celestial	adjective	Middle English	of heaven or the spirit
cellophane	noun	French	a transparent paperlike product that is impervious to moisture and used to wrap candy or cigarettes etc.
cenotaph	noun	French	a monument built to honor soldiers who died in a war
censorious	adjective	Latin	harshly critical or expressing censure
census	noun	Latin	a periodic count of the population
centaur	noun	Middle English	a mythical being that is half man and half horse
centripetal	adjective	New Latin	tending to move toward a center
centurion	noun	Middle English	the leader of 100 soldiers
ceramic	adjective	Greek	of or relating to or made from a ceramic
cerberus	noun	Latin	the three-headed dog guarding the entrance to Hades
cerebellum	noun	Medieval Latin	a major division of the vertebrate brain
cerium	noun	New Latin	a ductile grey metallic element of the lanthanide series
cernuous	adjective	Latin	having branches or flower heads that bend downward
certificate	noun	Middle English	a document attesting to the truth of certain stated facts
certiorari	noun	Middle English	a common law writ issued by a superior court to one of inferior jurisdiction demanding the record of a particular case
certitude	noun	Middle English	total certainty or greater certainty than circumstances warrant
cerumen	noun	New Latin	a soft yellow wax secreted by glands in the ear canal
chaffinch	noun	Middle English	small European finch with a cheerful song
chagrin	noun	French	strong feelings of embarrassment
chalcopyrite	noun	New Latin	a yellow copper ore made up of copper and iron sulfide
chalice	noun	Middle English	a bowl-shaped drinking vessel
chamberlain	noun	Middle English	an officer who manages the household of a king or nobleman
chancel	noun	Middle English	area around the altar of a church for the clergy and choir
chancery	noun	Middle English	an office of archives for public or ecclesiastic records
chandelier	noun	French	branched lighting fixture
chandelle	noun	French	a flight maneuver consisting of a steep climbing turn executed to gain altitude while changing direction
chanoyu	noun	Japanese	an ancient ritual for preparing and serving and drinking tea
chaotic	adjective	Latin	lacking a visible order or organization
chapeau	noun	Middle French	headdress that protects the head from bad weather
charade	noun	French	a word acted out in an episode of the game of charades
charcuterie	noun	French	a delicatessen that specializes in meats
charisma	noun	Greek	a personal attractiveness or interestingness that enables you to influence others
charlatan	noun	Italian	a flamboyant deceiver
charnel	adjective	Middle English	gruesomely indicative of death or the dead
chartaceous	adjective	Late Latin	of or like paper
chary	adjective	Middle English	characterized by great cautious and wariness
Charybdis	noun	Latin	a ship-devouring whirlpool lying on the other side of a narrow strait from Scylla
chassis	noun	French	the skeleton of a motor vehicle consisting of a steel frame supported on springs that holds the body and motor
chasuble	noun	Middle English	a long sleeveless vestment worn by a priest when celebrating Mass
chatelaine	noun	French	a chain formerly worn at the waist by women
chatoyant	adjective	French	varying in color when seen in different lights or from different angles
chattel	noun	Middle English	personal as opposed to real property
chauvinism	noun	French	fanatical patriotism
chela	noun	New Latin	a Hindu disciple of a swami
chelonian	adjective	Greek	of or relating to or resembling or being a turtle or tortoise
chemise	noun	Middle English	a loose-fitting dress hanging straight from the shoulders without a waist
chenille	noun	French	a heavy fabric woven with chenille cord
cheroot	noun	Tamil	a cigar with both ends cut flat
cherubic	adjective	Latin	having a sweet nature befitting an angel or cherub
chervil	noun	Middle English	fresh ferny parsley-like leaves used as a garnish with chicken and veal and omelets and green salads and spinach
chevrotain	noun	French	very small hornless deer-like ruminant of tropical Asia and west Africa
chiffon	noun	French	a sheer fabric of silk or rayon
chignon	noun	French	a roll of hair worn at the nape of the neck
chiliastic	adjective	New Latin	relating to or believing in the millennium of peace and happiness
chinchilla	noun	Spanish	small rodent with soft pearly grey fur
chinoiserie	noun	French	a style in art reflecting Chinese influence
chipotle	noun	Mexican Spanish	a ripe jalapeno that has been dried for use in cooking
chippendale	adjective	Thomas	of or relating to an 18th-century style of furniture made by Thomas Chippendale
chisel	noun	Middle English	an edge tool with a flat steel blade with a cutting edge
chitin	noun	French	a tough semitransparent horny substance
chiton	noun	New Latin	primitive elongated bilaterally symmetrical marine mollusk having a mantle covered with eight calcareous plates
chivalry	noun	Middle English	courtesy towards women
cholecystitis	noun	New Latin	inflammation of the gall bladder
chopine	noun	Middle French	a woman's shoe with a very high thick sole
chorion	noun	New Latin	outermost membranous sac enclosing the embryo in higher vertebrates
chrestomathy	noun	New Latin	a selection of passages from different authors that is compiled as an aid in learning a language
chronicler	noun	Middle English	someone who writes chronicles
chrysalis	noun	Latin	pupa of a moth or butterfly enclosed in a cocoon
chrysanthemum	noun	Latin	"any of numerous perennial Old World herbs having showy brightly colored flower heads of the genera Chrysanthemum, Argyranthemum, Dendranthema, Tanacetum"
chthonic	adjective	Greek	dwelling beneath the surface of the earth
cicada	noun	New Latin	stout-bodied insect with large membranous wings
cicerone	noun	Italian	a guide who conducts and informs sightseers
Cimmerian	adjective	Latin	intensely dark and gloomy as with perpetual darkness
cincture	noun	Latin	a band of material around the waist that strengthens a skirt or trousers
cinnabar	adjective	Middle English	of a vivid red to reddish-orange color
circinate	adjective	Latin	shaped like a ring
cirque	noun	French	a steep-walled semicircular basin in a mountain
